STANDARD,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),INCLUDED,EXCLUDED
HIGH SEASON,US$,US$,US$,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,675,870,338,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,540,696,270,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
LOW SEASON,450,580,225,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
LOW SEASON,360,464,180,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
DELUXE,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,US$,US$,US$,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,805,"1,040",403,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
HIGH SEASON,644,832,322,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
LOW SEASON,550,710,275,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
LOW SEASON,440,568,220,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (US$70 per adult, US$35 per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
