STANDARD,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),INCLUDED,EXCLUDED
SUN - THRU,KSH,KSH,KSH,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THRU,"32,400","41,300","16,200","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THRU,"27,540","35,105","13,770","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"37,000","47,700","18,500","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"31,450","40,545","15,725","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
DELUXE,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,KSH,KSH,KSH,"Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,"35,700","44,700","17,800","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"40,300","51,200","20,100","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"34,255","43,520","17,128","Full board accommodation, water, soft drinks, house beers& wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 4350/- per adult, Kes. 2,175/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner,Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
