STANDARD,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),INCLUDED,EXCLUDED
SUN - THUR,KSH,KSH,KSH,"Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,"26,880","34,390","13,440","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,"22,848","29,232","11,424","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"30,770","39,670","15,385","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"26,154","33,720","13,077","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
DELUXE,PER ADULT SHARING PER NIGHT,SINGLEROOM RATE,CHILD SHARING WITH AN ADULT (3-11YRS),"Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,KSH,KSH,KSH,"Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,"29,660","37,170","14,830","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
SUN - THUR,"25,211","31,595","12,606","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"33,555","42,460","16,777","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
FRI & SAT,"28,520","36,091","14,260","Full board accommodation, water, soft drinks, house beers & wines, bush breakfast, morning, evening, and night game drives, sundowner, boat ride, mula hill climb, organic vegetable, and dairy farm visit.","Oserengoni Wildlife Sanctuary fees (Kes. 3350/- per adult, Kes. 1,675/- per child), Premium spirits, All extra activities (Horse riding, Bush dinner, Hells gate visit, crescent island visit, Mt. Longonot hill climb, Lake Elementaita visit, Lake Nakuru National Park, Eburu forest and crater lake visit)"
